,Params,Score
118,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 1000}",-4079159230.743524
119,"{'batch_size': 5000, 'hidden_layers_sizes': [16], 'learning_rate': 10, 'nb_epoch': 10000}",-3849562830.8866844
120,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 10}",-56102446073.0032
121,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 100}",-35400523433.963196
122,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 1000}",-7537717078.160212
123,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 0.1, 'nb_epoch': 10000}",-4007491166.9488244
124,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 10}",-47093056536.34202
125,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 100}",-7887759813.079985
126,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 1000}",-4503085995.595799
127,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 1, 'nb_epoch': 10000}",-3773021424.8734255
128,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 10}",-10699802305.79045
129,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 100}",-5028327976.881025
130,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 1000}",-3994145206.5709205
131,"{'batch_size': 5000, 'hidden_layers_sizes': [32], 'learning_rate': 10, 'nb_epoch': 10000}",-3544303792.259435
132,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 10}",-55982032205.60742
133,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 100}",-25511174160.199207
134,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 1000}",-6363117682.760806
135,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 0.1, 'nb_epoch': 10000}",-3804171973.040808
136,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 10}",-36914776577.864914
137,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 100}",-7155582459.589638
138,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 1000}",-4379551740.967064
139,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 1, 'nb_epoch': 10000}",-3357053990.493243
140,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 10}",-10889765069.909084
141,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 100}",-4920025044.371531
142,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 1000}",-3952663548.7895193
143,"{'batch_size': 5000, 'hidden_layers_sizes': [64], 'learning_rate': 10, 'nb_epoch': 10000}",-3059857334.8314104
144,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 10}",-55864957221.70033
145,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 100}",-8579027457.327173
146,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 1000}",-4423840063.362085
147,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 0.1, 'nb_epoch': 10000}",-14251441933.298676
148,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 10}",-13881796053.86972
149,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 100}",-15212277346.424454
150,"{'batch_size': 5000, 'hidden_layers_sizes': [16, 8], 'learning_rate': 1, 'nb_epoch': 1000}",-3968954667.734707
